Site,Date,EnteroCount,FourDayRainTotal,SampleCount
Congress St. Bridge- Troy,5/19/11,81,1.6,38
Congress St. Bridge- Troy,10/16/10,525,1.3,38
Congress St. Bridge- Troy,9/14/10,31,0,38
Congress St. Bridge- Troy,8/23/10,727,0.6,38
Congress St. Bridge- Troy,8/21/10,84,0.2,38
Congress St. Bridge- Troy,7/19/10,50,0.7,38
Congress St. Bridge- Troy,6/18/10,602,0.2,38
Congress St. Bridge- Troy,5/25/10,28,0,38
Congress St. Bridge- Troy,9/17/09,96,0,38
Congress St. Bridge- Troy,8/24/09,190,2.8,38
Congress St. Bridge- Troy,7/31/09,2420,1.9,38
Congress St. Bridge- Troy,6/13/09,46,0.6,38
Congress St. Bridge- Troy,5/15/09,35,0.5,38
Congress St. Bridge- Troy,10/23/08,7,0.3,38
Congress St. Bridge- Troy,9/18/08,47,0,38
Congress St. Bridge- Troy,8/9/08,26,1.5,38
Congress St. Bridge- Troy,7/17/08,38,0.1,38
Congress St. Bridge- Troy,9/21/13,33,0,38
Congress St. Bridge- Troy,8/19/13,108,0,38
Congress St. Bridge- Troy,6/24/13,411,1.4,38
Albany Rowing Dock,6/18/10,139,0.2,36
Albany Rowing Dock,6/19/08,143,1.4,36
Albany Rowing Dock,5/22/08,45,0.2,36
Albany Rowing Dock,9/18/08,201,0,36
Albany Rowing Dock,10/23/08,3,0.3,36
Albany Rowing Dock,5/15/09,88,0.5,36
Albany Rowing Dock,6/13/09,42,0.6,36
Albany Rowing Dock,7/31/09,2420,1.9,36
Albany Rowing Dock,8/24/09,161,2.8,36
Albany Rowing Dock,9/17/09,39,0,36
Albany Rowing Dock,10/23/09,25,0,36
Albany Rowing Dock,5/25/10,7,0,36
Albany Rowing Dock,7/17/08,12,0.1,36
Albany Rowing Dock,8/21/10,21,0.2,36
Albany Rowing Dock,9/14/10,82,0,36
Albany Rowing Dock,10/16/10,921,1.3,36
Albany Rowing Dock,5/19/11,687,1.6,36
Albany Rowing Dock,7/2/11,31,2.1,36
